layer,x,z,block_type
-29,5,4,snow_block
-29,6,4,snow_block
-28,2,4,obsidian
-28,3,4,snow_block
-28,4,4,snow_block
-28,5,4,snow_block
-28,6,4,snow_block
-27,2,4,obsidian
-27,3,4,snow_block
-27,4,4,snow_block
-27,5,4,snow_block
-27,6,4,snow_block
-26,2,4,obsidian
-26,3,4,snow_block
-26,4,4,snow_block
-26,5,4,snow_block
-26,6,4,snow_block
-25,2,4,obsidian
-25,3,4,snow_block
-25,4,4,snow_block
-25,5,4,snow_block
-25,6,4,snow_block
-24,2,4,obsidian
-24,3,4,snow_block
-24,4,4,snow_block
-24,5,4,snow_block
-24,6,4,snow_block
-23,2,4,obsidian
-23,3,4,snow_block
-23,4,4,snow_block
-23,5,4,snow_block
-23,6,4,snow_block
-22,2,4,obsidian
-22,3,4,snow_block
-22,4,4,snow_block
-22,5,4,snow_block
-22,6,4,snow_block
-21,2,4,obsidian
-21,3,4,snow_block
-21,4,4,snow_block
-21,5,4,snow_block
-21,6,4,snow_block
-20,2,4,obsidian
-20,3,4,snow_block
-20,4,4,snow_block
-20,5,4,snow_block
-20,6,4,snow_block
-19,2,4,obsidian
-19,3,4,snow_block
-19,4,4,snow_block
-19,5,4,snow_block
-19,6,4,snow_block
-18,2,4,obsidian
-18,3,4,snow_block
-18,4,4,snow_block
-18,5,4,snow_block
-18,6,4,snow_block
-17,2,4,obsidian
-17,3,4,snow_block
-17,4,4,snow_block
-17,5,4,snow_block
-17,6,4,snow_block
-16,2,4,obsidian
-16,3,4,snow_block
-16,4,4,snow_block
-16,5,4,snow_block
-16,6,4,snow_block
-15,2,4,obsidian
-15,3,4,snow_block
-15,4,4,snow_block
-15,5,4,snow_block
-15,6,4,snow_block
-14,2,4,obsidian
-14,3,4,snow_block
-14,4,4,snow_block
-14,5,4,snow_block
-14,6,4,snow_block
-13,2,4,obsidian
-13,3,4,snow_block
-13,4,4,snow_block
-13,5,4,snow_block
-13,6,4,snow_block
-12,2,4,obsidian
-12,3,4,snow_block
-12,4,4,snow_block
-12,5,4,snow_block
-12,6,4,snow_block
-11,2,4,obsidian
-11,3,4,snow_block
-11,4,4,snow_block
-11,5,4,snow_block
-11,6,4,snow_block
-10,2,4,obsidian
-10,3,4,snow_block
-10,4,4,snow_block
-10,5,4,snow_block
-10,6,4,snow_block
-9,2,4,obsidian
-9,3,4,snow_block
-9,4,4,snow_block
-9,5,4,snow_block
-9,6,4,snow_block
-8,2,4,obsidian
-8,3,4,snow_block
-8,4,4,snow_block
-8,5,4,snow_block
-8,6,4,snow_block
-7,2,4,obsidian
-7,3,4,snow_block
-7,4,4,snow_block
-7,5,4,snow_block
-7,6,4,snow_block
-6,2,4,obsidian
-6,3,4,snow_block
-6,4,4,snow_block
-6,5,4,snow_block
-6,6,4,snow_block
-5,2,4,obsidian
-5,3,4,snow_block
-5,4,4,snow_block
-5,5,4,snow_block
-5,6,4,snow_block
-4,2,4,obsidian
-4,3,4,snow_block
-4,4,4,snow_block
-4,5,4,snow_block
-4,6,4,snow_block
-3,2,4,obsidian
-3,3,4,snow_block
-3,4,4,snow_block
-3,5,4,snow_block
-3,6,4,snow_block
-2,2,4,obsidian
-2,3,4,snow_block
-2,4,4,snow_block
-2,5,4,snow_block
-2,6,4,snow_block
-1,2,4,gold_block
-1,3,4,snow_block
-1,4,4,snow_block
-1,5,4,snow_block
-1,6,4,snow_block
0,2,4,gold_block
0,3,4,snow_block
0,4,4,snow_block
0,5,4,snow_block
0,6,4,snow_block
1,2,4,gold_block
1,3,4,snow_block
1,4,4,snow_block
1,5,4,snow_block
1,6,4,snow_block
2,2,4,gold_block
2,3,4,snow_block
2,4,4,snow_block
2,5,4,snow_block
2,6,4,snow_block
3,2,4,gold_block
3,3,4,snow_block
3,4,4,snow_block
3,5,4,snow_block
3,6,4,snow_block
