layer,x,z,block_type
-31,3,2,wood_planks
-31,1,3,stone
-31,2,3,stone
-31,3,3,wood_planks
-30,1,1,wood_planks
-30,2,1,wood_planks
-30,3,1,wood_planks
-30,1,2,stone
-30,2,2,stone
-30,3,2,wood_planks
-30,1,3,stone
-30,2,3,stone
-30,3,3,wood_planks
-29,1,1,wood_planks
-29,2,1,wood_planks
-29,3,1,wood_planks
-29,1,2,stone
-29,2,2,stone
-29,3,2,wood_planks
-29,1,3,stone
-29,2,3,stone
-29,3,3,wood_planks
-28,1,1,wood_planks
-28,2,1,wood_planks
-28,3,1,wood_planks
-28,1,2,stone
-28,2,2,stone
-28,3,2,wood_planks
-28,1,3,stone
-28,2,3,stone
-28,3,3,wood_planks
-27,1,1,wood_planks
-27,2,1,wood_planks
-27,3,1,wood_planks
-27,1,2,stone
-27,2,2,stone
-27,3,2,wood_planks
-27,1,3,stone
-27,2,3,stone
-27,3,3,wood_planks
-26,1,1,wood_planks
-26,2,1,wood_planks
-26,3,1,wood_planks
-26,1,2,stone
-26,2,2,stone
-26,3,2,wood_planks
-26,1,3,stone
-26,2,3,stone
-26,3,3,wood_planks
-25,1,1,wood_planks
-25,2,1,wood_planks
-25,3,1,wood_planks
-25,1,2,stone
-25,2,2,stone
-25,3,2,wood_planks
-25,1,3,stone
-25,2,3,stone
-25,3,3,wood_planks
-24,1,1,wood_planks
-24,2,1,wood_planks
-24,3,1,wood_planks
-24,1,2,stone
-24,2,2,stone
-24,3,2,wood_planks
-24,1,3,stone
-24,2,3,stone
-24,3,3,wood_planks
-23,1,1,wood_planks
-23,2,1,wood_planks
-23,3,1,wood_planks
-23,1,2,stone
-23,2,2,stone
-23,3,2,wood_planks
-23,1,3,stone
-23,2,3,stone
-23,3,3,wood_planks
-22,1,1,wood_planks
-22,2,1,wood_planks
-22,3,1,wood_planks
-22,1,2,stone
-22,2,2,stone
-22,3,2,wood_planks
-22,1,3,stone
-22,2,3,stone
-22,3,3,wood_planks
-21,1,1,wood_planks
-21,2,1,wood_planks
-21,3,1,wood_planks
-21,1,2,stone
-21,2,2,stone
-21,3,2,wood_planks
-21,1,3,stone
-21,2,3,stone
-21,3,3,wood_planks
-20,1,1,wood_planks
-20,2,1,wood_planks
-20,3,1,wood_planks
-20,1,2,stone
-20,2,2,stone
-20,3,2,wood_planks
-20,1,3,stone
-20,2,3,stone
-20,3,3,wood_planks
-19,1,1,wood_planks
-19,2,1,wood_planks
-19,3,1,wood_planks
-19,1,2,stone
-19,2,2,stone
-19,3,2,wood_planks
-19,1,3,stone
-19,2,3,stone
-19,3,3,wood_planks
-18,1,1,wood_planks
-18,2,1,wood_planks
-18,3,1,wood_planks
-18,1,2,stone
-18,2,2,stone
-18,3,2,wood_planks
-18,1,3,stone
-18,2,3,stone
-18,3,3,wood_planks
-17,1,1,wood_planks
-17,2,1,wood_planks
-17,3,1,wood_planks
-17,1,2,stone
-17,2,2,stone
-17,3,2,wood_planks
-17,1,3,stone
-17,2,3,stone
-17,3,3,wood_planks
-16,1,1,wood_planks
-16,2,1,wood_planks
-16,3,1,wood_planks
-16,1,2,stone
-16,2,2,stone
-16,3,2,wood_planks
-16,1,3,stone
-16,2,3,stone
-16,3,3,wood_planks
-15,1,1,wood_planks
-15,2,1,wood_planks
-15,3,1,wood_planks
-15,1,2,stone
-15,2,2,stone
-15,3,2,wood_planks
-15,1,3,stone
-15,2,3,stone
-15,3,3,wood_planks
-14,1,1,wood_planks
-14,2,1,wood_planks
-14,3,1,wood_planks
-14,1,2,stone
-14,2,2,stone
-14,3,2,wood_planks
-14,1,3,stone
-14,2,3,stone
-14,3,3,wood_planks
-13,1,1,wood_planks
-13,2,1,wood_planks
-13,3,1,wood_planks
-13,1,2,stone
-13,2,2,stone
-13,3,2,wood_planks
-13,1,3,stone
-13,2,3,stone
-13,3,3,wood_planks
-12,1,1,wood_planks
-12,2,1,wood_planks
-12,3,1,wood_planks
-12,1,2,stone
-12,2,2,stone
-12,3,2,wood_planks
-12,1,3,stone
-12,2,3,stone
-12,3,3,wood_planks
-11,1,1,wood_planks
-11,2,1,wood_planks
-11,3,1,wood_planks
-11,1,2,stone
-11,2,2,stone
-11,3,2,wood_planks
-11,1,3,stone
-11,2,3,stone
-11,3,3,wood_planks
-10,1,1,wood_planks
-10,2,1,wood_planks
-10,3,1,wood_planks
-10,1,2,stone
-10,2,2,stone
-10,3,2,wood_planks
-10,1,3,stone
-10,2,3,stone
-10,3,3,wood_planks
-9,1,1,wood_planks
-9,2,1,wood_planks
-9,3,1,wood_planks
-9,1,2,stone
-9,2,2,stone
-9,3,2,wood_planks
-9,1,3,stone
-9,2,3,stone
-9,3,3,wood_planks
-8,1,1,wood_planks
-8,2,1,wood_planks
-8,3,1,wood_planks
-8,1,2,stone
-8,2,2,stone
-8,3,2,wood_planks
-8,1,3,stone
-8,2,3,stone
-8,3,3,wood_planks
-7,1,1,wood_planks
-7,2,1,wood_planks
-7,3,1,wood_planks
-7,1,2,stone
-7,2,2,stone
-7,3,2,wood_planks
-7,1,3,stone
-7,2,3,stone
-7,3,3,wood_planks
-6,1,1,wood_planks
-6,2,1,wood_planks
-6,3,1,wood_planks
-6,1,2,stone
-6,2,2,stone
-6,3,2,wood_planks
-6,1,3,stone
-6,2,3,stone
-6,3,3,wood_planks
-5,1,1,wood_planks
-5,2,1,wood_planks
-5,3,1,wood_planks
-5,1,2,stone
-5,2,2,stone
-5,3,2,wood_planks
-5,1,3,stone
-5,2,3,stone
-5,3,3,wood_planks
-4,1,1,wood_planks
-4,2,1,wood_planks
-4,3,1,wood_planks
-4,1,2,stone
-4,2,2,stone
-4,3,2,wood_planks
-4,1,3,stone
-4,2,3,stone
-4,3,3,wood_planks
-3,1,1,wood_planks
-3,2,1,wood_planks
-3,3,1,wood_planks
-3,1,2,stone
-3,2,2,stone
-3,3,2,wood_planks
-3,1,3,stone
-3,2,3,stone
-3,3,3,wood_planks
-2,1,1,wood_planks
-2,2,1,wood_planks
-2,3,1,wood_planks
-2,1,2,stone
-2,2,2,stone
-2,3,2,wood_planks
-2,1,3,stone
-2,2,3,stone
-2,3,3,wood_planks
-1,1,1,wood_planks
-1,2,1,wood_planks
-1,3,1,wood_planks
-1,1,2,stone
-1,2,2,stone
-1,3,2,wood_planks
-1,1,3,stone
-1,2,3,stone
-1,3,3,wood_planks
0,1,1,wood_planks
0,2,1,wood_planks
0,3,1,wood_planks
0,1,2,stone
0,2,2,stone
0,3,2,wood_planks
0,1,3,stone
0,2,3,stone
0,3,3,wood_planks
1,1,1,wood_planks
1,2,1,wood_planks
1,3,1,wood_planks
1,1,2,stone
1,2,2,stone
1,3,2,wood_planks
1,1,3,stone
1,2,3,stone
1,3,3,wood_planks
2,1,1,wood_planks
2,2,1,wood_planks
2,3,1,wood_planks
2,1,2,stone
2,2,2,stone
2,3,2,wood_planks
2,1,3,stone
2,2,3,stone
2,3,3,wood_planks
